order_id,customer_id,order_date,status,payment_method,shipping_cost,campaign_id
39,438,2026-05-10,Reembolsado,Transferencia,0.0,3
40,62,2025-02-20,Pendiente,Transferencia,0.0,12
41,183,2026-03-23,Completado,Tarjeta de crédito,0.0,15
42,20,2025-10-23,Completado,Tarjeta de crédito,0.0,10
43,72,2025-12-06,Completado,Tarjeta de crédito,2.5,13
44,311,2025-07-16,Completado,Tarjeta de crédito,0.0,15
45,400,2024-09-18,Reembolsado,Transferencia,2.5,
46,348,2024-07-28,Completado,Tarjeta de crédito,2.5,1
47,239,2024-08-13,Completado,Tarjeta de débito,2.5,18
48,134,2024-06-15,Completado,Tarjeta de crédito,0.0,1
49,590,2025-12-11,Completado,Transferencia,0.0,
50,17,2025-10-12,Completado,Tarjeta de crédito,0.0,3
51,488,2026-05-10,Completado,Tarjeta de débito,0.0,18
52,91,2026-03-05,Pendiente,Transferencia,0.0,11
53,543,2024-09-06,Cancelado,Transferencia,4.99,14
54,153,2026-05-03,Pendiente,Billetera virtual,2.5,3
55,258,2025-05-09,Cancelado,Billetera virtual,0.0,1
56,30,2025-10-10,Cancelado,Tarjeta de crédito,0.0,5
57,423,2024-12-22,Completado,Tarjeta de débito,0.0,13
58,583,2024-08-01,Completado,Tarjeta de débito,0.0,12
59,222,2026-01-27,Completado,Billetera virtual,0.0,
60,482,2026-06-22,Pendiente,Efectivo (retiro en local),0.0,11
61,93,2024-06-17,Completado,Transferencia,0.0,12
62,304,2025-08-11,Pendiente,Transferencia,7.99,17
63,375,2025-06-11,Completado,Efectivo (retiro en local),7.99,
64,65,2025-06-17,Completado,Billetera virtual,2.5,14
65,296,2024-08-18,Completado,Tarjeta de débito,0.0,1
66,555,2024-10-14,Completado,Transferencia,2.5,12
67,238,2025-11-15,Reembolsado,Transferencia,2.5,16
68,496,2025-06-16,Completado,Tarjeta de crédito,0.0,9
69,158,2024-11-13,Completado,Tarjeta de crédito,0.0,8
70,125,2024-06-26,Completado,Billetera virtual,0.0,12
71,588,2026-04-14,Completado,Efectivo (retiro en local),7.99,12
72,412,2026-02-23,Pendiente,Tarjeta de débito,2.5,9
73,200,2026-01-19,Cancelado,Tarjeta de débito,0.0,4
74,90,2025-11-07,Completado,Tarjeta de débito,2.5,8
75,90,2025-01-07,Reembolsado,Billetera virtual,7.99,11
76,280,2025-07-30,Completado,Efectivo (retiro en local),2.5,16
77,310,2026-01-21,Completado,Billetera virtual,4.99,12
78,295,2025-08-02,Completado,Billetera virtual,7.99,18
79,371,2026-01-17,Completado,Efectivo (retiro en local),2.5,6
80,55,2025-03-07,Completado,Billetera virtual,7.99,9
81,79,2025-11-09,Completado,Tarjeta de débito,0.0,17
82,372,2024-09-07,Cancelado,Efectivo (retiro en local),0.0,2
83,497,2025-07-27,Completado,Tarjeta de débito,0.0,4
84,79,2024-09-28,Pendiente,Tarjeta de débito,0.0,13
85,122,2025-01-14,Completado,Tarjeta de débito,7.99,5
86,44,2024-12-19,Completado,Tarjeta de crédito,7.99,14
87,360,2024-06-30,Completado,Tarjeta de débito,7.99,6
88,551,2024-06-05,Reembolsado,Tarjeta de crédito,0.0,14
89,140,2025-10-21,Pendiente,Transferencia,7.99,7
90,439,2024-12-11,Pendiente,Tarjeta de crédito,2.5,9
91,88,2024-10-01,Completado,Billetera virtual,2.5,16
92,204,2025-05-13,Completado,Efectivo (retiro en local),2.5,1
93,410,2025-05-31,Completado,Efectivo (retiro en local),2.5,13
94,184,2025-06-27,Cancelado,Transferencia,0.0,7
95,33,2025-08-15,Completado,Billetera virtual,2.5,8
96,113,2026-01-04,Reembolsado,Billetera virtual,7.99,15
97,390,2024-09-08,Completado,Transferencia,0.0,11
98,118,2025-05-12,Completado,Tarjeta de crédito,4.99,8
99,432,2025-03-01,Completado,Billetera virtual,4.99,
100,515,2026-04-15,Completado,Tarjeta de débito,4.99,7
101,588,2025-07-17,Pendiente,Tarjeta de débito,4.99,
102,412,2025-02-13,Cancelado,Efectivo (retiro en local),2.5,15
103,479,2025-03-02,Reembolsado,Efectivo (retiro en local),4.99,11
104,245,2024-09-25,Completado,Tarjeta de débito,0.0,5
105,265,2025-03-12,Reembolsado,Efectivo (retiro en local),0.0,18
106,86,2025-04-18,Cancelado,Transferencia,0.0,11
107,595,2025-11-20,Completado,Billetera virtual,0.0,5
108,261,2026-01-25,Completado,Billetera virtual,4.99,9
109,253,2025-03-12,Pendiente,Tarjeta de débito,0.0,13
110,394,2025-04-13,Reembolsado,Transferencia,7.99,1
111,483,2026-06-25,Completado,Transferencia,7.99,11
112,361,2025-08-05,Cancelado,Efectivo (retiro en local),7.99,8
113,114,2024-11-09,Completado,Efectivo (retiro en local),7.99,18
114,137,2025-02-22,Completado,Efectivo (retiro en local),0.0,7
115,585,2025-01-16,Completado,Tarjeta de crédito,4.99,18
116,581,2024-09-29,Completado,Efectivo (retiro en local),2.5,12
117,221,2025-03-17,Reembolsado,Tarjeta de débito,2.5,3
118,218,2026-06-01,Completado,Billetera virtual,7.99,17
119,47,2024-06-06,Completado,Efectivo (retiro en local),4.99,10
120,505,2025-05-14,Completado,Tarjeta de débito,0.0,8
121,271,2025-11-12,Completado,Billetera virtual,0.0,8
122,479,2025-08-21,Completado,Billetera virtual,0.0,12
123,291,2024-12-02,Pendiente,Tarjeta de débito,7.99,14
124,79,2025-02-08,Pendiente,Billetera virtual,7.99,1
125,472,2026-05-26,Reembolsado,Billetera virtual,2.5,18
126,290,2025-04-27,Pendiente,Tarjeta de crédito,7.99,
127,503,2025-08-17,Reembolsado,Transferencia,7.99,17
128,275,2025-12-29,Cancelado,Billetera virtual,0.0,11
129,159,2025-10-21,Cancelado,Efectivo (retiro en local),0.0,7
130,47,2025-11-08,Completado,Efectivo (retiro en local),2.5,11
131,600,2024-08-23,Pendiente,Efectivo (retiro en local),0.0,1
132,272,2025-05-16,Pendiente,Tarjeta de débito,0.0,3
133,109,2025-08-19,Cancelado,Tarjeta de crédito,0.0,10
134,472,2026-05-10,Completado,Efectivo (retiro en local),7.99,13
135,17,2026-05-14,Completado,Tarjeta de crédito,0.0,13
136,475,2024-10-30,Completado,Billetera virtual,0.0,1
137,461,2026-01-21,Completado,Tarjeta de débito,0.0,16
138,606,2026-06-13,Cancelado,Billetera virtual,0.0,
139,295,2026-06-14,Completado,Billetera virtual,0.0,12
140,301,2026-06-11,Reembolsado,Billetera virtual,2.5,18
141,506,2025-04-07,Completado,Tarjeta de débito,4.99,
142,163,2024-11-26,Pendiente,Efectivo (retiro en local),0.0,
143,48,2025-12-23,Completado,Tarjeta de débito,7.99,14
144,211,2025-06-06,Completado,Transferencia,7.99,12
145,486,2025-05-16,Completado,Efectivo (retiro en local),0.0,
146,142,2025-08-14,Completado,Billetera virtual,2.5,14
147,169,2025-08-19,Completado,Billetera virtual,0.0,18
148,322,2025-05-19,Completado,Transferencia,4.99,17
149,415,2024-12-20,Completado,Tarjeta de crédito,0.0,15
150,164,2024-06-24,Completado,Efectivo (retiro en local),4.99,6
151,382,2025-02-21,Reembolsado,Efectivo (retiro en local),0.0,1
152,6,2025-09-08,Completado,Tarjeta de débito,7.99,16
153,370,2025-09-09,Completado,Tarjeta de débito,7.99,11
154,599,2025-10-24,Reembolsado,Billetera virtual,2.5,13
155,419,2024-09-21,Completado,Transferencia,4.99,7
156,313,2025-06-19,Completado,Transferencia,2.5,
157,221,2024-12-05,Pendiente,Billetera virtual,0.0,1
158,460,2024-10-31,Pendiente,Transferencia,0.0,17
159,127,2026-03-22,Cancelado,Tarjeta de crédito,0.0,17
160,594,2025-08-29,Completado,Efectivo (retiro en local),4.99,8
161,102,2025-12-07,Completado,Transferencia,0.0,3
162,60,2025-04-02,Completado,Tarjeta de crédito,0.0,2
163,476,2025-12-19,Completado,Tarjeta de crédito,2.5,
164,146,2025-06-18,Cancelado,Tarjeta de débito,0.0,15
165,257,2026-04-28,Completado,Transferencia,7.99,4
166,326,2026-04-30,Completado,Transferencia,7.99,12
167,3,2026-02-14,Completado,Tarjeta de crédito,0.0,3
168,386,2026-02-06,Completado,Billetera virtual,0.0,
169,456,2024-06-10,Completado,Tarjeta de crédito,0.0,9
170,506,2025-06-07,Completado,Transferencia,2.5,17
171,506,2024-11-22,Cancelado,Tarjeta de débito,7.99,16
172,465,2024-06-03,Completado,Tarjeta de crédito,0.0,11
173,324,2024-06-06,Completado,Tarjeta de débito,0.0,
174,607,2026-03-04,Completado,Transferencia,0.0,1
175,35,2025-06-22,Completado,Tarjeta de crédito,0.0,
176,421,2025-01-25,Pendiente,Efectivo (retiro en local),7.99,17
177,439,2026-02-26,Cancelado,Tarjeta de crédito,0.0,18
178,111,2024-09-14,Completado,Efectivo (retiro en local),7.99,
179,599,2025-08-21,Cancelado,Transferencia,0.0,16
180,207,2024-08-10,Completado,Tarjeta de débito,7.99,13
181,4,2026-03-17,Completado,Tarjeta de débito,2.5,17
182,189,2024-06-07,Completado,Tarjeta de crédito,0.0,9
183,451,2024-12-17,Reembolsado,Efectivo (retiro en local),0.0,
184,269,2026-06-07,Completado,Transferencia,4.99,5
185,141,2025-06-24,Reembolsado,Tarjeta de crédito,0.0,4
186,195,2024-12-14,Cancelado,Billetera virtual,7.99,9
187,336,2025-02-09,Completado,Transferencia,0.0,14
188,495,2026-06-03,Completado,Billetera virtual,0.0,16
189,387,2026-01-07,Completado,Transferencia,0.0,15
190,532,2025-05-27,Completado,Efectivo (retiro en local),0.0,12
191,85,2025-03-29,Pendiente,Efectivo (retiro en local),4.99,15
192,74,2025-06-04,Completado,Efectivo (retiro en local),0.0,8
193,142,2026-06-04,Reembolsado,Efectivo (retiro en local),0.0,
194,215,2025-09-29,Completado,Efectivo (retiro en local),4.99,15
195,31,2025-06-19,Completado,Efectivo (retiro en local),0.0,7
196,430,2025-08-10,Reembolsado,Billetera virtual,7.99,15
197,401,2024-08-05,Cancelado,Billetera virtual,0.0,13
198,312,2024-09-04,Completado,Tarjeta de crédito,7.99,15
199,396,2025-03-18,Completado,Tarjeta de débito,0.0,14
200,12,2024-11-23,Completado,Billetera virtual,2.5,3
201,71,2025-07-04,Pendiente,Tarjeta de débito,0.0,4
202,8,2024-10-25,Completado,Tarjeta de crédito,2.5,17
203,295,2026-03-24,Completado,Transferencia,7.99,7
204,45,2025-02-01,Pendiente,Tarjeta de débito,0.0,18
205,169,2025-02-14,Completado,Efectivo (retiro en local),0.0,12
206,409,2024-12-17,Completado,Tarjeta de crédito,0.0,6
207,476,2025-10-10,Completado,Tarjeta de crédito,0.0,15
208,175,2024-06-19,Cancelado,Tarjeta de crédito,0.0,7
209,12,2026-04-25,Completado,Tarjeta de débito,2.5,9
210,49,2026-03-13,Pendiente,Efectivo (retiro en local),7.99,1
211,17,2025-08-06,Completado,Tarjeta de crédito,0.0,4
212,172,2026-06-12,Completado,Tarjeta de crédito,2.5,14
213,195,2026-03-02,Completado,Efectivo (retiro en local),2.5,11
214,332,2024-11-25,Completado,Billetera virtual,7.99,8
215,68,2026-04-05,Pendiente,Transferencia,7.99,17
216,583,2024-11-23,Completado,Tarjeta de crédito,4.99,8
217,600,2025-09-03,Completado,Efectivo (retiro en local),7.99,5
218,210,2026-03-20,Completado,Tarjeta de débito,7.99,17
219,235,2026-06-21,Completado,Transferencia,0.0,4
220,198,2024-07-24,Reembolsado,Tarjeta de débito,0.0,2
221,479,2025-04-15,Completado,Tarjeta de débito,0.0,11
222,207,2025-03-06,Pendiente,Billetera virtual,0.0,9
223,86,2025-04-04,Cancelado,Efectivo (retiro en local),0.0,15
224,493,2024-08-13,Completado,Tarjeta de débito,7.99,13
225,426,2025-07-10,Reembolsado,Transferencia,2.5,13
226,357,2025-11-04,Reembolsado,Billetera virtual,7.99,9
227,249,2025-10-03,Completado,Transferencia,7.99,
228,593,2026-04-10,Pendiente,Tarjeta de débito,0.0,1
229,601,2024-08-22,Cancelado,Tarjeta de débito,2.5,3
230,276,2025-01-01,Reembolsado,Billetera virtual,7.99,7
231,428,2025-11-20,Completado,Transferencia,7.99,11
232,515,2024-09-21,Completado,Efectivo (retiro en local),0.0,3
233,112,2026-03-14,Completado,Tarjeta de crédito,0.0,
234,8,2026-04-13,Cancelado,Tarjeta de crédito,0.0,4
235,409,2025-06-23,Cancelado,Tarjeta de crédito,0.0,8
236,412,2026-06-13,Pendiente,Tarjeta de débito,0.0,17
237,255,2025-06-13,Completado,Efectivo (retiro en local),7.99,13
238,84,2025-05-23,Completado,Billetera virtual,7.99,1
239,457,2024-09-27,Completado,Efectivo (retiro en local),0.0,5
240,335,2025-06-28,Pendiente,Transferencia,0.0,6
241,391,2026-04-01,Reembolsado,Efectivo (retiro en local),2.5,5
242,377,2024-10-09,Pendiente,Transferencia,2.5,16
243,195,2025-07-03,Completado,Transferencia,0.0,2
244,150,2026-04-13,Pendiente,Tarjeta de crédito,4.99,8
245,386,2024-07-31,Pendiente,Transferencia,0.0,4
246,402,2025-04-03,Pendiente,Tarjeta de débito,0.0,15
247,562,2025-07-09,Completado,Tarjeta de débito,0.0,16
248,168,2026-01-13,Completado,Billetera virtual,7.99,13
249,152,2025-06-21,Completado,Tarjeta de débito,0.0,1
250,414,2025-02-06,Completado,Tarjeta de crédito,0.0,10
251,123,2024-09-28,Completado,Tarjeta de crédito,2.5,18
252,66,2026-06-01,Pendiente,Efectivo (retiro en local),0.0,10
253,599,2025-12-04,Reembolsado,Tarjeta de crédito,0.0,1
254,212,2026-03-31,Completado,Tarjeta de crédito,4.99,6
255,373,2025-12-10,Completado,Billetera virtual,7.99,
256,503,2026-05-13,Completado,Efectivo (retiro en local),0.0,17
257,433,2024-08-16,Cancelado,Transferencia,0.0,10
258,147,2025-12-01,Completado,Tarjeta de crédito,7.99,6
259,445,2025-06-24,Completado,Efectivo (retiro en local),0.0,
260,150,2025-01-18,Completado,Tarjeta de crédito,0.0,10
261,502,2024-09-06,Cancelado,Transferencia,7.99,16
262,545,2025-12-17,Cancelado,Billetera virtual,2.5,16
263,274,2024-07-25,Reembolsado,Transferencia,7.99,5
264,246,2024-09-04,Completado,Efectivo (retiro en local),0.0,
265,195,2024-06-08,Reembolsado,Billetera virtual,7.99,15
266,433,2025-10-21,Completado,Tarjeta de débito,0.0,1
267,583,2025-07-09,Completado,Transferencia,7.99,14
268,7,2026-02-21,Completado,Transferencia,0.0,9
269,191,2025-07-17,Completado,Tarjeta de crédito,0.0,11
270,374,2025-08-13,Completado,Efectivo (retiro en local),0.0,1
271,405,2025-08-06,Reembolsado,Transferencia,0.0,3
272,333,2025-07-15,Cancelado,Billetera virtual,0.0,1
273,513,2024-06-14,Pendiente,Tarjeta de débito,0.0,8
274,192,2025-02-11,Completado,Tarjeta de crédito,0.0,5
275,150,2025-08-11,Completado,Efectivo (retiro en local),0.0,
276,237,2025-01-14,Completado,Billetera virtual,2.5,
277,330,2025-01-04,Completado,Billetera virtual,0.0,17
278,504,2025-06-08,Completado,Transferencia,0.0,1
279,371,2026-01-25,Cancelado,Efectivo (retiro en local),0.0,5
280,196,2024-12-15,Reembolsado,Billetera virtual,0.0,
281,430,2025-11-19,Cancelado,Tarjeta de crédito,0.0,17
282,408,2025-10-20,Reembolsado,Efectivo (retiro en local),4.99,
283,586,2025-01-10,Cancelado,Tarjeta de crédito,4.99,12
284,285,2024-10-15,Completado,Tarjeta de crédito,7.99,5
285,563,2025-02-26,Reembolsado,Tarjeta de débito,2.5,17
286,264,2026-03-04,Reembolsado,Efectivo (retiro en local),4.99,4
287,185,2026-03-26,Completado,Tarjeta de crédito,0.0,3
288,466,2026-03-23,Completado,Tarjeta de crédito,7.99,14
289,14,2026-03-22,Completado,Tarjeta de débito,0.0,
290,347,2026-05-26,Completado,Tarjeta de débito,0.0,13
291,426,2024-10-24,Completado,Tarjeta de débito,0.0,5
292,289,2025-06-01,Completado,Efectivo (retiro en local),0.0,1
293,309,2026-03-02,Pendiente,Transferencia,0.0,1
294,151,2025-04-24,Completado,Billetera virtual,2.5,13
295,286,2024-10-27,Completado,Transferencia,0.0,3
296,563,2025-10-23,Cancelado,Efectivo (retiro en local),2.5,15
297,486,2024-10-15,Completado,Tarjeta de crédito,0.0,9
298,230,2024-07-28,Reembolsado,Tarjeta de débito,0.0,2
299,427,2024-11-01,Pendiente,Tarjeta de débito,2.5,2
300,12,2025-07-11,Pendiente,Billetera virtual,7.99,12
301,225,2025-07-07,Completado,Efectivo (retiro en local),4.99,
302,107,2024-08-19,Completado,Efectivo (retiro en local),0.0,
303,317,2024-12-10,Cancelado,Tarjeta de débito,7.99,
304,323,2024-09-04,Completado,Tarjeta de crédito,0.0,7
305,392,2025-10-02,Cancelado,Tarjeta de crédito,0.0,3
306,238,2025-01-07,Pendiente,Tarjeta de débito,7.99,3
307,581,2026-03-05,Completado,Tarjeta de crédito,0.0,2
308,591,2025-06-08,Completado,Tarjeta de crédito,0.0,3
309,525,2026-03-02,Completado,Transferencia,0.0,11
310,75,2025-01-15,Completado,Billetera virtual,7.99,
311,205,2025-07-17,Completado,Tarjeta de crédito,0.0,8
312,390,2024-08-03,Pendiente,Transferencia,2.5,13
313,181,2024-08-25,Completado,Tarjeta de crédito,0.0,10
314,538,2025-01-06,Reembolsado,Transferencia,0.0,
315,204,2025-05-24,Completado,Billetera virtual,2.5,15
316,575,2026-02-02,Completado,Tarjeta de crédito,7.99,16
317,4,2025-09-05,Pendiente,Tarjeta de débito,7.99,12
318,315,2025-10-28,Pendiente,Tarjeta de crédito,7.99,13
319,391,2025-03-19,Pendiente,Billetera virtual,7.99,7
320,118,2024-12-18,Pendiente,Billetera virtual,0.0,9
321,425,2026-04-21,Completado,Tarjeta de crédito,2.5,
322,532,2026-06-30,Cancelado,Transferencia,0.0,3
323,448,2025-01-23,Completado,Tarjeta de débito,4.99,1
324,26,2026-06-22,Completado,Billetera virtual,7.99,18
325,53,2025-03-09,Completado,Tarjeta de débito,7.99,
326,503,2024-06-23,Completado,Tarjeta de crédito,2.5,18
327,322,2026-03-11,Completado,Tarjeta de débito,0.0,7
328,352,2025-05-22,Completado,Efectivo (retiro en local),4.99,15
329,198,2026-02-11,Completado,Efectivo (retiro en local),0.0,14
330,565,2026-03-30,Completado,Billetera virtual,7.99,13
331,211,2026-06-10,Completado,Billetera virtual,2.5,11
332,301,2026-02-09,Pendiente,Efectivo (retiro en local),0.0,10
333,440,2024-12-08,Completado,Tarjeta de débito,0.0,4
334,330,2025-01-25,Cancelado,Tarjeta de crédito,2.5,7
335,511,2024-07-18,Completado,Billetera virtual,0.0,1
336,413,2024-07-08,Cancelado,Efectivo (retiro en local),0.0,8
337,426,2026-06-11,Completado,Transferencia,0.0,9
338,49,2024-06-11,Completado,Tarjeta de crédito,0.0,11
339,551,2024-06-06,Reembolsado,Tarjeta de crédito,0.0,
340,389,2025-03-04,Reembolsado,Tarjeta de débito,0.0,16
341,85,2025-05-28,Cancelado,Tarjeta de débito,7.99,18
342,222,2025-09-23,Pendiente,Billetera virtual,0.0,13
343,541,2025-11-09,Pendiente,Transferencia,0.0,12
344,464,2026-02-26,Cancelado,Tarjeta de débito,2.5,4
345,315,2026-01-13,Reembolsado,Tarjeta de crédito,0.0,12
346,274,2024-06-30,Completado,Efectivo (retiro en local),2.5,9
347,55,2025-08-26,Completado,Transferencia,0.0,
348,255,2024-09-22,Completado,Tarjeta de crédito,0.0,
349,356,2026-03-15,Completado,Efectivo (retiro en local),0.0,
350,245,2024-11-22,Completado,Tarjeta de crédito,0.0,3
351,175,2026-04-27,Pendiente,Tarjeta de crédito,4.99,9
352,97,2024-09-11,Completado,Transferencia,2.5,13
353,342,2025-11-13,Pendiente,Efectivo (retiro en local),2.5,1
354,32,2025-02-06,Cancelado,Billetera virtual,0.0,4
355,281,2026-03-04,Reembolsado,Efectivo (retiro en local),2.5,14
356,196,2024-07-13,Cancelado,Efectivo (retiro en local),7.99,8
357,167,2025-04-07,Completado,Transferencia,0.0,7
358,608,2024-10-05,Completado,Billetera virtual,0.0,
359,202,2025-08-17,Cancelado,Tarjeta de crédito,0.0,5
360,396,2025-08-07,Completado,Tarjeta de crédito,0.0,7
361,305,2026-01-02,Reembolsado,Billetera virtual,4.99,3
362,144,2026-02-20,Completado,Tarjeta de débito,4.99,14
363,531,2025-09-15,Pendiente,Tarjeta de crédito,0.0,
364,599,2026-04-22,Cancelado,Tarjeta de crédito,7.99,4
365,1,2024-11-04,Cancelado,Tarjeta de crédito,4.99,1
366,125,2025-04-04,Completado,Billetera virtual,0.0,5
367,103,2026-01-24,Completado,Transferencia,7.99,6
368,311,2024-07-05,Reembolsado,Efectivo (retiro en local),2.5,
369,400,2025-11-08,Completado,Tarjeta de débito,7.99,2
370,70,2026-03-23,Completado,Billetera virtual,2.5,17
371,595,2025-05-23,Cancelado,Efectivo (retiro en local),2.5,
372,109,2025-10-25,Reembolsado,Billetera virtual,0.0,5
373,39,2024-08-14,Completado,Transferencia,4.99,18
374,461,2025-06-22,Completado,Efectivo (retiro en local),4.99,4
375,166,2025-08-19,Pendiente,Efectivo (retiro en local),0.0,
376,213,2026-01-06,Pendiente,Billetera virtual,4.99,9
377,530,2025-04-02,Completado,Tarjeta de crédito,2.5,5
378,297,2025-02-13,Completado,Transferencia,0.0,3
379,114,2026-01-18,Completado,Transferencia,7.99,
380,343,2024-07-31,Completado,Tarjeta de débito,4.99,8
381,578,2026-02-15,Reembolsado,Tarjeta de crédito,0.0,
382,234,2024-06-22,Completado,Tarjeta de crédito,0.0,15
383,377,2025-05-27,Completado,Transferencia,2.5,
384,16,2026-06-08,Completado,Tarjeta de crédito,0.0,
385,251,2025-03-27,Completado,Efectivo (retiro en local),2.5,13
386,557,2024-12-28,Completado,Transferencia,0.0,12
387,421,2026-05-24,Cancelado,Billetera virtual,0.0,
388,146,2024-07-07,Completado,Billetera virtual,7.99,12
389,277,2025-03-12,Cancelado,Billetera virtual,0.0,
390,392,2025-06-29,Completado,Tarjeta de crédito,0.0,4
391,269,2026-01-27,Completado,Tarjeta de crédito,0.0,17
392,391,2025-09-22,Reembolsado,Tarjeta de débito,0.0,
393,13,2024-10-06,Completado,Efectivo (retiro en local),7.99,8
394,570,2025-01-10,Completado,Tarjeta de crédito,4.99,
395,507,2024-10-09,Completado,Tarjeta de débito,0.0,17
396,189,2026-05-02,Cancelado,Billetera virtual,4.99,8
397,266,2025-02-19,Completado,Transferencia,4.99,
398,147,2024-06-26,Completado,Efectivo (retiro en local),0.0,8
399,217,2025-04-17,Cancelado,Efectivo (retiro en local),4.99,9
400,81,2024-08-19,Completado,Efectivo (retiro en local),4.99,16
401,371,2025-01-23,Completado,Transferencia,7.99,1
402,79,2025-06-06,Reembolsado,Billetera virtual,4.99,5
403,507,2026-03-10,Pendiente,Tarjeta de débito,0.0,12
404,568,2026-05-30,Completado,Tarjeta de crédito,0.0,
405,122,2025-05-11,Pendiente,Transferencia,4.99,17
406,604,2025-11-04,Completado,Tarjeta de débito,0.0,16
407,394,2025-04-23,Pendiente,Tarjeta de débito,0.0,
408,292,2024-11-17,Completado,Transferencia,0.0,13
409,41,2025-12-05,Cancelado,Tarjeta de débito,0.0,13
410,585,2025-08-11,Reembolsado,Billetera virtual,4.99,2
411,228,2026-06-15,Completado,Transferencia,0.0,14
412,534,2025-04-22,Completado,Efectivo (retiro en local),7.99,18
413,601,2025-06-21,Pendiente,Tarjeta de débito,7.99,4
414,220,2024-06-04,Completado,Tarjeta de crédito,2.5,15
415,497,2025-10-15,Pendiente,Billetera virtual,4.99,9
416,408,2026-05-23,Completado,Billetera virtual,2.5,17
417,453,2025-08-10,Completado,Transferencia,0.0,6
418,338,2024-10-11,Cancelado,Efectivo (retiro en local),0.0,
419,235,2025-03-25,Pendiente,Tarjeta de débito,0.0,8
420,290,2025-04-05,Completado,Tarjeta de débito,7.99,5
421,387,2026-04-03,Completado,Tarjeta de débito,7.99,6
422,426,2024-06-21,Completado,Efectivo (retiro en local),4.99,2
423,320,2025-04-28,Completado,Efectivo (retiro en local),7.99,
424,417,2025-12-27,Completado,Billetera virtual,0.0,15
425,319,2025-05-07,Completado,Tarjeta de crédito,0.0,15
426,485,2025-11-18,Reembolsado,Efectivo (retiro en local),0.0,
427,330,2025-09-16,Reembolsado,Billetera virtual,4.99,15
428,14,2024-11-13,Cancelado,Tarjeta de crédito,0.0,4
429,302,2026-06-08,Reembolsado,Transferencia,4.99,8
430,154,2025-09-25,Completado,Tarjeta de crédito,0.0,4
431,609,2024-11-08,Completado,Transferencia,7.99,15
432,437,2026-01-20,Reembolsado,Transferencia,0.0,17
433,607,2026-02-10,Completado,Efectivo (retiro en local),7.99,13
434,151,2024-10-25,Completado,Billetera virtual,0.0,8
435,451,2025-08-10,Reembolsado,Billetera virtual,0.0,7
436,124,2025-12-24,Completado,Transferencia,0.0,
437,11,2024-12-18,Completado,Transferencia,4.99,4
438,378,2025-02-15,Cancelado,Tarjeta de crédito,4.99,6
439,408,2024-07-15,Reembolsado,Transferencia,0.0,18
440,466,2025-10-16,Completado,Billetera virtual,7.99,18
441,558,2025-03-12,Pendiente,Tarjeta de débito,7.99,17
442,174,2026-01-22,Reembolsado,Transferencia,4.99,
443,4,2025-04-15,Completado,Efectivo (retiro en local),0.0,1
444,89,2024-12-08,Completado,Efectivo (retiro en local),7.99,
445,196,2026-06-26,Completado,Transferencia,0.0,10
